region,polygon,area,contribution,name,eta_max,season
2,12,56204396509238.02,0.027801528976949215,Eastern Australia,0.805665890623611,0.0
2,75,1965425297161141.5,0.9721984710230508,Eastern Australia,0.813157180911867,0.0
0,7,776525440293394.6,0.28931479062233856,Hawaii,0.8029359649316289,2.0
0,61,883576351895444.4,0.3291993977053667,Hawaii,0.8184075906378433,2.0
0,88,1023913907883142.1,0.3814858116722948,Hawaii,0.8025000503381627,2.0
1,10,296410622123812.25,0.1248129118696614,Amazon,0.7914788941385045,0.0
1,68,1818423914487973.5,0.7657039486454996,Amazon,0.7910211314862852,0.0
1,101,148575713337979.66,0.06256242533399946,Amazon,0.7985050484277293,0.0
1,143,111429161162968.75,0.046920714150839565,Amazon,0.7971568578766791,0.0
1,32,1089708677468604.6,0.5605680424573136,Iceland,0.8609349652374523,2.0
1,77,141600467016946.84,0.07284212583414819,Iceland,0.8627170738461597,2.0
1,128,712627353734616.2,0.36658983170853815,Iceland,0.853847665217202,2.0
3,5,1088702059708416.9,0.37590072828926807,Ross Sea,0.8766397099144164,0.0
3,29,50479627081717.016,0.017429312652233044,Ross Sea,0.8718457730533992,0.0
3,35,1757067183657982.0,0.6066699590584989,Ross Sea,0.876660950709803,0.0
2,71,880897035274036.1,0.28191934637499544,Western Australia,0.8268381723078052,0.0
2,91,2243744982384126.5,0.7180806536250046,Western Australia,0.8172932337638167,0.0
0,16,215043132860453.88,0.08274193190101996,South China Sea,0.8111916207268213,2.0
0,53,280533974043377.44,0.10794077758940739,South China Sea,0.8031890545848465,2.0
0,78,382348607277730.1,0.14711589254214047,South China Sea,0.7943744067600205,2.0
0,190,1721036237996437.2,0.662201397967432,South China Sea,0.795456693162421,2.0
2,17,1841933168328677.8,0.6106087234995861,Chile,0.8633342220529424,0.0
2,35,95826401252864.39,0.0317668618778733,Chile,0.8579108691859981,0.0
2,84,852348043726025.8,0.2825570221036639,Chile,0.8502613451601869,0.0
2,119,226444717900530.88,0.07506739251887669,Chile,0.8348435623610786,0.0
2,34,619073465146754.0,0.21022373348476572,Brazil,0.8144081711337632,0.0
2,85,2043843646225980.8,0.6940443520170722,Brazil,0.8192719565547892,0.0
2,218,111479167404152.67,0.037855873489778265,Brazil,0.8257311501533245,0.0
2,226,170435186656183.3,0.057876041008383776,Brazil,0.8200596902289705,0.0
2,39,1785481951377248.8,0.7723149068370071,Eastern India,0.7984172229062194,2.0
2,62,526375473063304.4,0.227685093162993,Eastern India,0.7954662242604611,2.0
3,3,1559518622548985.5,0.5384615384615384,Weddell Sea,0.8763006660374371,0.0
3,28,1336730247899130.5,0.46153846153846156,Weddell Sea,0.8766250516313129,0.0
3,4,989453081845321.2,0.3843486801664256,Eastern Antarctica,0.871350760922627,0.0
3,31,1584910075631585.8,0.6156513198335745,Eastern Antarctica,0.8714756214828921,0.0
2,23,805418423585645.5,0.3265199787864204,Tasmania,0.8464500565416768,0.0
2,70,1100829184721944.5,0.4462807300119574,Tasmania,0.841680643812452,0.0
2,98,560426641087963.2,0.22719929120162224,Tasmania,0.8391708853311136,0.0
0,32,1120734972673024.2,0.48980994995215077,Kuroshio Current,0.8156072527353222,2.0
0,87,1167366714078149.5,0.5101900500478491,Kuroshio Current,0.8304248055380031,2.0
1,11,430121501343706.1,0.19484516802701016,West of Gibraltar,0.8242893253234862,2.0
1,34,1777382568164864.5,0.8051548319729899,West of Gibraltar,0.8162693502608298,2.0
1,39,903811334511542.4,0.33826380862900235,Gulf Stream,0.8143853833372164,2.0
1,53,1545554692477119.8,0.578445076708717,Gulf Stream,0.8091306162975108,2.0
1,136,222546579254164.53,0.0832911146622807,Gulf Stream,0.8059961906573795,2.0
