Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.1,4,2004_01,7310504971864.821,0.49384541317424463
0.1,7,2004_01,6587324208193.352,1.650192269309938
0.1,12,2004_01,29041123737382.617,0.7260776341208721
0.1,4,2004_02,10363097226798.951,0.5876343467045041
0.1,7,2004_02,9418044605444.174,1.33394222437996
0.1,12,2004_02,27958268797536.508,0.8620205739454833
0.1,4,2004_03,8281719644043.871,0.8417221500582375
0.1,7,2004_03,6323781731503.587,1.2742612425853472
0.1,12,2004_03,16243735710186.068,1.263046332147237
0.1,4,2004_04,7282283867494.785,0.7622538359817201
0.1,7,2004_04,4802368059873.056,0.6959515190909873
0.1,12,2004_04,10736282235166.25,1.1615330947577596
0.1,4,2004_05,7339046100342.534,0.9948789124926275
0.1,7,2004_05,3436383743618.3477,1.0194659093727452
0.1,12,2004_05,6934380934148.416,1.9811178259921896
0.1,4,2004_06,5896013439017.133,1.041405277429477
0.1,7,2004_06,2484184057463.05,1.4165368645868346
0.1,12,2004_06,4429853943762.87,1.1191242874007015
0.1,4,2004_07,4657908974449.064,0.861948849305144
0.1,7,2004_07,1879104675265.2031,1.019082936415704
0.1,12,2004_07,3074426641989.0957,1.677132585193423
0.1,4,2004_08,3894800403432.132,0.8224189080187322
0.1,7,2004_08,1571176441813.2676,1.3911658778983345
0.1,12,2004_08,1840321216509.1719,1.76579495650414
0.1,4,2004_09,3477803380036.6333,0.6155522735290966
0.1,7,2004_09,1290121969956.8875,0.8695314838647684
0.1,12,2004_09,1476215809292.5051,1.926304451709433
0.1,4,2004_10,3302200829656.741,0.6483915103997224
0.1,7,2004_10,1088750351783.752,1.084061653274906
0.1,12,2004_10,1333834903568.6816,1.889410830065251
0.1,4,2004_11,3171711334274.296,0.7656407756150992
0.1,7,2004_11,949198526278.3503,1.0504210875655897
0.1,12,2004_11,1234870770834.1704,1.6472731477080735
0.1,4,2004_12,2939662427663.309,0.7461979690441104
0.1,7,2004_12,765080454319.9498,0.8972322379832082
0.1,12,2004_12,1028193054050.4425,0.9922257452195291
0.1,4,2005_01,2610751789065.288,0.9161904795532081
0.1,7,2005_01,608170725175.9114,1.0407980735232885
0.1,12,2005_01,927337938617.5116,1.2190977739867357
0.1,4,2005_02,2280882620662.549,0.8928158991455004
0.1,7,2005_02,518124837281.68604,0.9901524910558747
0.1,12,2005_02,796554448628.8488,1.4606302279615389
0.1,4,2005_03,2032880365076.0042,0.7966504352039222
0.1,7,2005_03,475543558339.0243,0.8803042861053474
0.1,12,2005_03,716230585055.4502,1.2342107100330795
0.1,4,2005_04,1810650243893.6377,0.8176747474795305
0.1,7,2005_04,470551665420.1885,0.9363727300637422
0.1,12,2005_04,749639125833.7028,1.6732150191765505
0.1,4,2005_05,1642993293533.5798,0.6684478945734812
0.1,7,2005_05,487473032873.76514,1.0777724952746535
0.1,12,2005_05,780110429119.2981,1.3074254985017302
0.1,4,2005_06,1497001254464.6313,0.6908473685484197
0.1,7,2005_06,543786989440.9734,1.5076488018313916
0.1,12,2005_06,797663012187.3823,1.5567809120365623
0.1,4,2005_07,1386358763398.055,0.6983795551546496
0.1,7,2005_07,586584569374.9062,1.4264611024362714
0.1,12,2005_07,813547403749.8152,1.4493970118117292
0.1,4,2005_08,1293259431395.9446,0.6627266052820677
0.1,7,2005_08,556375702711.2963,1.3894718115496627
0.1,12,2005_08,849209727967.2178,2.2249824606069275
0.1,4,2005_09,1231787080065.83,0.6051221808630235
0.1,7,2005_09,510833733463.8796,1.6987891124273922
0.1,12,2005_09,829828602464.0509,1.3067427346525187
0.1,4,2005_10,1184175482773.837,0.6835090617169642
