Resolution,Site,Year_Month,Total_surface_dic_masked,MeanU10m
0.1,4,2004_01,7310504971864.821,5.26163659188476
0.1,7,2004_01,6587324208193.352,9.66736657936062
0.1,12,2004_01,29041123737382.617,4.699374502578434
0.1,4,2004_02,10363097226798.951,5.701142934784955
0.1,7,2004_02,9418044605444.174,8.586435271854874
0.1,12,2004_02,27958268797536.508,5.1857019015788826
0.1,4,2004_03,8281719644043.871,6.816769553118017
0.1,7,2004_03,6323781731503.587,8.44871429051075
0.1,12,2004_03,16243735710186.068,6.437181429427018
0.1,4,2004_04,7282283867494.785,6.335304000580617
0.1,7,2004_04,4802368059873.056,6.2997465522028655
0.1,12,2004_04,10736282235166.25,6.122108975074253
0.1,4,2004_05,7339046100342.534,7.304209752187701
0.1,7,2004_05,3436383743618.3477,7.669289657267827
0.1,12,2004_05,6934380934148.416,7.935407129114682
0.1,4,2004_06,5896013439017.133,7.447245263868942
0.1,7,2004_06,2484184057463.05,9.048540273147058
0.1,12,2004_06,4429853943762.87,5.945712769816093
0.1,4,2004_07,4657908974449.064,6.764402749011203
0.1,7,2004_07,1879104675265.2031,7.751058064908879
0.1,12,2004_07,3074426641989.0957,7.244346398161818
0.1,4,2004_08,3894800403432.132,6.58577658623167
0.1,7,2004_08,1571176441813.2676,8.952421593479551
0.1,12,2004_08,1840321216509.1719,7.367795216827716
0.1,4,2004_09,3477803380036.6333,5.6913661908644535
0.1,7,2004_09,1290121969956.8875,7.0193219243231875
0.1,12,2004_09,1476215809292.5051,7.661246182135783
0.1,4,2004_10,3302200829656.741,5.924129044434197
0.1,7,2004_10,1088750351783.752,7.7472325725644255
0.1,12,2004_10,1333834903568.6816,7.498498323173745
0.1,4,2004_11,3171711334274.296,6.488337406547852
0.1,7,2004_11,949198526278.3503,7.644408239221281
0.1,12,2004_11,1234870770834.1704,7.0052465021845665
0.1,4,2004_12,2939662427663.309,6.456898055659833
0.1,7,2004_12,765080454319.9498,6.919919196269257
0.1,12,2004_12,1028193054050.4425,5.383724663885967
0.1,4,2005_01,2610751789065.288,7.240695333069233
0.1,7,2005_01,608170725175.9114,7.380362067832492
0.1,12,2005_01,927337938617.5116,6.105721007391984
0.1,4,2005_02,2280882620662.549,7.162073799655662
0.1,7,2005_02,518124837281.68604,7.209153035667851
0.1,12,2005_02,796554448628.8488,6.6771801040557754
0.1,4,2005_03,2032880365076.0042,6.710289735093827
0.1,7,2005_03,475543558339.0243,6.815360229724723
0.1,12,2005_03,716230585055.4502,6.211172387418073
0.1,4,2005_04,1810650243893.6377,6.778589273568434
0.1,7,2005_04,470551665420.1885,7.100603587499858
0.1,12,2005_04,749639125833.7028,7.317666641130951
0.1,4,2005_05,1642993293533.5798,6.0911041432074295
0.1,7,2005_05,487473032873.76514,7.661568374530494
0.1,12,2005_05,780110429119.2981,6.45239365393321
0.1,4,2005_06,1497001254464.6313,6.13414280793502
0.1,7,2005_06,543786989440.9734,9.127565355222403
0.1,12,2005_06,797663012187.3823,7.017077631436101
0.1,4,2005_07,1386358763398.055,6.1370326469149274
0.1,7,2005_07,586584569374.9062,8.644877745711
0.1,12,2005_07,813547403749.8152,6.753148996781015
0.1,4,2005_08,1293259431395.9446,5.993266369839055
0.1,7,2005_08,556375702711.2963,8.62012825576412
0.1,12,2005_08,849209727967.2178,8.229118083716067
0.1,4,2005_09,1231787080065.83,5.733508549796617
0.1,7,2005_09,510833733463.8796,9.400661782945244
0.1,12,2005_09,829828602464.0509,6.293589643428719
0.1,4,2005_10,1184175482773.837,6.108881145670796
0.1,7,2005_10,447938215145.5061,8.323102329579386
0.1,12,2005_10,786591706725.4553,7.8959114347484185
0.1,4,2005_11,1117002845864.7625,6.479771309085903
0.1,7,2005_11,367054835571.17633,7.245350179501401
0.1,12,2005_11,683396792027.49,6.573656912458544
0.1,4,2005_12,1023903094738.8563,6.511428774432143
0.1,7,2005_12,282173443001.11475,7.9508366673501465
0.1,12,2005_12,552756059827.6511,6.725064769397032
0.1,4,2006_01,939213005228.7708,7.272010668958814
0.1,7,2006_01,218761611840.28775,7.683757786248795
0.1,12,2006_01,413412436637.4161,6.066869555949066
0.1,4,2006_02,851070089182.4402,6.926203974274563
0.1,7,2006_02,185730034778.5441,6.635586471361664
0.1,12,2006_02,290297405753.33844,6.6980491570346175
0.1,4,2006_03,772872304025.3057,6.582798209590007
0.1,7,2006_03,158911462498.97806,7.067340261231815
0.1,12,2006_03,255490411087.99573,7.7954454953866685
0.1,4,2006_04,709077507688.0707,6.067261736498994
0.1,7,2006_04,160533517510.29895,7.104738501110638
0.1,12,2006_04,295549925382.124,7.830167020707979
0.1,4,2006_05,648634641735.3228,5.928606375967096
0.1,7,2006_05,170453319940.72803,7.092441705191889
0.1,12,2006_05,373441976900.94165,8.679151989581248
0.1,4,2006_06,590742934567.4198,6.140308089003917
0.1,7,2006_06,193262423954.67593,7.148109422807576
0.1,12,2006_06,423084266405.71893,7.984879567360337
0.1,4,2006_07,536971897847.3426,6.24507970293153
0.1,7,2006_07,213672105286.59738,8.31974787649042
0.1,12,2006_07,465905807325.3256,8.854420876197644
0.1,4,2006_08,490807995563.6758,6.113535885494306
0.1,7,2006_08,234500765266.45383,9.513081570980786
0.1,12,2006_08,494110650442.0191,5.996959236732869
0.1,4,2006_09,460957072501.65076,5.792016778288182
0.1,7,2006_09,229130995172.08817,8.538895475539388
0.1,12,2006_09,485177184256.7258,7.875161221118783
0.1,4,2006_10,438507039426.4831,6.043018715351005
0.1,7,2006_10,201790982136.69284,7.89676878122579
0.1,12,2006_10,455866373236.44556,7.827941853306675
0.1,4,2006_11,424450865493.40137,6.269983588528203
0.1,7,2006_11,165906852413.484,7.068085578913406
0.1,12,2006_11,408571404249.50745,7.122483524928851
0.1,4,2006_12,413269870703.97003,6.853957470589838
0.1,7,2006_12,131419422769.11755,6.813422099449464
0.1,12,2006_12,323102918168.2883,6.460882786872572
0.1,4,2007_01,395919427476.37177,6.786489520392868
0.1,7,2007_01,104383740997.65161,6.873515777372037
0.1,12,2007_01,237255280783.23563,7.112146918383901
0.1,4,2007_02,371202808004.3171,6.803888095989481
0.1,7,2007_02,91433617063.61125,7.435933296470645
0.1,12,2007_02,182403506443.34818,6.842231780487405
0.1,4,2007_03,345377479264.04144,6.711439030914806
0.1,7,2007_03,86732514183.66754,7.720222783719915
0.1,12,2007_03,180310216594.88538,8.247368771093765
0.1,4,2007_04,323078658224.3544,6.079413272182502
0.1,7,2007_04,88965392662.27496,7.719620914025989
0.1,12,2007_04,189152754873.52963,7.833743711388008
0.1,4,2007_05,293941230439.3267,6.190190013618878
0.1,7,2007_05,97611294844.9327,8.340581116072252
0.1,12,2007_05,206043924503.1303,6.686462881293641
0.1,4,2007_06,259060994950.34848,6.281369112465544
0.1,7,2007_06,107799969934.41914,9.108352820826262
0.1,12,2007_06,219130162357.95834,7.340671892770062
0.1,4,2007_07,227614674128.7429,6.297054544359934
0.1,7,2007_07,128128655263.35312,9.822117664565129
0.1,12,2007_07,231638024984.36615,7.495695947660408
0.1,4,2007_08,204427615497.26636,6.305634068578507
0.1,7,2007_08,144222517321.0719,9.513983438075394
0.1,12,2007_08,233808712726.64124,8.083114728116952
0.1,4,2007_09,190158407073.6186,5.8158029710610855
0.1,7,2007_09,143863014693.99194,9.511008885367328
0.1,12,2007_09,225222254965.98392,7.998047107414759
0.1,4,2007_10,181972063846.8368,6.2501739818258475
0.1,7,2007_10,124998988810.51915,7.574230156061929
0.1,12,2007_10,217847626728.4841,8.316437959910532
0.1,4,2007_11,182115087197.59103,6.542261183932271
0.1,7,2007_11,99653036218.39748,6.852001028703719
0.1,12,2007_11,203294426838.5373,6.594732808818454
0.1,4,2007_12,180948484906.2425,6.819149475255082
0.1,7,2007_12,79714090563.66087,6.993043246372542
0.1,12,2007_12,174650127025.1986,7.011526806461772
0.25,4,2004_1,7393948065600.206,5.330488912334358
0.25,7,2004_1,6586176237558.405,9.663068646802861
0.25,12,2004_1,28412057634331.867,4.688915614758043
0.25,4,2004_2,9565696138100.455,5.599989092775258
0.25,7,2004_2,8988718270713.354,8.777453893289065
0.25,12,2004_2,25521391540452.016,5.098052079521107
0.25,4,2004_3,7257249555909.35,6.516079025726075
0.25,7,2004_3,5798713095154.979,8.776060569127148
0.25,12,2004_3,14801512621238.176,6.4258427186045
0.25,4,2004_4,7183322865316.418,5.975933557704032
0.25,7,2004_4,4071933875452.4204,6.318477006894545
0.25,12,2004_4,10005311169004.262,6.0240315049088675
0.25,4,2004_5,7549544007688.895,7.0096432331991165
0.25,7,2004_5,2700643337683.8545,7.660196343966945
0.25,12,2004_5,6335781240099.965,7.9728076182543814
0.25,4,2004_6,6245192214713.732,7.242430410977281
0.25,7,2004_6,1880171921987.2761,9.035742538547408
0.25,12,2004_6,3615009798346.227,5.936644455815017
0.25,4,2004_7,5079078469806.933,6.603374238270587
0.25,7,2004_7,1398002744353.6711,7.648317357547889
0.25,12,2004_7,2319705071462.305,7.2713517506563505
0.25,4,2004_8,4297363502341.407,6.443623337101804
0.25,7,2004_8,1096204504302.4789,9.104195878365665
0.25,12,2004_8,1539657143721.3179,7.3049733386110045
0.25,4,2004_9,3904649744910.2705,5.650012626200092
0.25,7,2004_9,892968627293.4668,7.015196065364714
0.25,12,2004_9,1273095467234.254,7.519097472025587
0.25,4,2004_10,3759798210798.7417,5.890177360127562
0.25,7,2004_10,745777098450.3553,7.883584869783777
0.25,12,2004_10,1215031294864.838,6.986583582923548
0.25,4,2004_11,3578032831556.4224,6.325509347648284
0.25,7,2004_11,618314814796.3505,7.874494990733471
0.25,12,2004_11,1179453270490.0688,6.551562699531494
0.25,4,2004_12,3235198655392.186,6.23628727796513
0.25,7,2004_12,489735226062.5644,7.362730360056171
0.25,12,2004_12,1062386593615.4154,5.081785709640986
0.25,4,2005_1,2812995514827.036,7.046462315727226
0.25,7,2005_1,407710976796.0158,7.829955017571853
0.25,12,2005_1,992372134509.653,5.969105386889139
0.25,4,2005_2,2404298455650.5635,7.138665265498247
0.25,7,2005_2,361389154322.55176,7.578976555341325
0.25,12,2005_2,871137707942.1215,6.07064669964835
0.25,4,2005_3,2121364248667.4082,6.709148006374421
0.25,7,2005_3,316741122952.9797,7.036779063345536
0.25,12,2005_3,843393880507.3605,5.6495351629009445
0.25,4,2005_4,1898346282041.742,6.755092671550778
0.25,7,2005_4,296088343201.6273,7.07088402302759
0.25,12,2005_4,865961580256.6393,7.149904012188321
0.25,4,2005_5,1752895141525.8452,6.113168079909637
0.25,7,2005_5,288808189773.05817,7.7201716622477345
0.25,12,2005_5,873556200684.13,6.134612913400146
0.25,4,2005_6,1596219021468.639,6.189903024152903
0.25,7,2005_6,318380727185.3586,9.439689742099992
0.25,12,2005_6,882446412309.9359,6.57068523841121
0.25,4,2005_7,1483103792512.4443,6.140780896222737
0.25,7,2005_7,353675800783.9646,9.04929602533407
0.25,12,2005_7,879131880555.6029,6.421345265267459
0.25,4,2005_8,1381683317632.165,6.033783078383159
0.25,7,2005_8,364316588953.547,8.860316785169365
0.25,12,2005_8,846390788807.8231,7.469171568261846
0.25,4,2005_9,1312184156694.7288,5.674157660373002
0.25,7,2005_9,359065130091.11566,9.959988852498064
0.25,12,2005_9,785046685434.555,5.758079419374603
0.25,4,2005_10,1272442360451.5637,6.0313802026926915
0.25,7,2005_10,334669841927.38776,8.46517356296152
0.25,12,2005_10,712134952276.761,7.368688835736194
0.25,4,2005_11,1210136213299.0552,6.4236451004701
0.25,7,2005_11,271926233497.4546,7.51316566052927
0.25,12,2005_11,644655734910.9133,6.010790753658158
0.25,4,2005_12,1116429303817.6018,6.459435632170615
0.25,7,2005_12,208685371057.80847,8.164653212452269
0.25,12,2005_12,539806043356.7528,6.348405769027726
0.25,4,2006_1,1034784968561.8911,7.244942028432333
0.25,7,2006_1,157168754037.36386,7.942983489750676
0.25,12,2006_1,417138137593.6339,5.618433302529104
0.25,4,2006_2,946140572939.0693,6.90409083396525
0.25,7,2006_2,131188917283.58324,6.857861713157364
0.25,12,2006_2,321648898061.7587,5.873609020701637
0.25,4,2006_3,868339533027.8004,6.561962722004504
0.25,7,2006_3,109292939423.10765,7.20071825932435
0.25,12,2006_3,308676556220.41174,6.940864853122461
0.25,4,2006_4,795413362856.7693,6.1173125518060045
0.25,7,2006_4,109018825130.79138,6.992235324909476
0.25,12,2006_4,343362183536.40326,7.3833778591701655
0.25,4,2006_5,726847145842.716,5.987442817573311
0.25,7,2006_5,117300525710.35452,6.8977556935932025
0.25,12,2006_5,403649053694.7431,7.8943555740894364
0.25,4,2006_6,666462306681.9635,6.223230905234425
0.25,7,2006_6,130831186591.74303,7.333470055936965
0.25,12,2006_6,431424454709.20044,7.745423379393529
0.25,4,2006_7,608197522417.0757,6.281106372790793
0.25,7,2006_7,143098306446.268,8.390671867540824
0.25,12,2006_7,439098907630.3043,8.448541539281113
0.25,4,2006_8,559499261231.248,6.109691616555126
0.25,7,2006_8,161338015787.50125,9.65342645306385
0.25,12,2006_8,425605912293.1497,5.517599452550924
0.25,4,2006_9,530808455427.0798,5.756684628682814
0.25,7,2006_9,163170868102.3661,8.576475070889837
0.25,12,2006_9,400581897832.32324,7.628561237231351
0.25,4,2006_10,505017485470.3615,5.977591581820257
0.25,7,2006_10,145032045255.63196,7.989588108244261
0.25,12,2006_10,372909730342.2743,7.4100239953246945
0.25,4,2006_11,484110191206.3526,6.18439797415128
0.25,7,2006_11,115345661921.6714,7.283824282853198
0.25,12,2006_11,333462975809.1263,6.722844689635731
0.25,4,2006_12,471098714139.1165,6.825635436414931
0.25,7,2006_12,89851206636.5687,6.803350020419104
0.25,12,2006_12,273739559923.24823,6.0987288942004945
0.25,4,2007_1,449914358074.69324,6.792112873912513
0.25,7,2007_1,72052955214.89417,7.050657812996621
0.25,12,2007_1,203958659243.95428,6.6653105231282055
0.25,4,2007_2,423569536393.0448,6.700436711909112
0.25,7,2007_2,63326967558.692924,7.694181831574119
0.25,12,2007_2,164989454839.20233,6.05785428746103
0.25,4,2007_3,396304956251.53815,6.751722158937195
0.25,7,2007_3,59422188895.61648,7.639401712048509
0.25,12,2007_3,164619525569.22256,7.784700292251674
0.25,4,2007_4,370004982651.63464,6.088869505512264
0.25,7,2007_4,60952354888.51098,7.563477210916182
0.25,12,2007_4,173010788299.74957,7.188680769623569
0.25,4,2007_5,339579153913.0412,6.161101014337192
0.25,7,2007_5,67335391460.88556,8.301192656588983
0.25,12,2007_5,189108734105.65216,6.163770053060399
0.25,4,2007_6,302727459497.4232,6.238020286497327
0.25,7,2007_6,71788185279.70848,9.17202703621452
0.25,12,2007_6,205177340133.0429,6.732597037853387
0.25,4,2007_7,271753845468.19394,6.306865930970344
0.25,7,2007_7,86775586407.9802,9.944382005823915
0.25,12,2007_7,214327520554.14713,7.353394465921558
0.25,4,2007_8,246793130737.67484,6.316275617203975
0.25,7,2007_8,100846727899.30597,9.65248899569995
0.25,12,2007_8,216222195840.6755,7.362971083577021
0.25,4,2007_9,229889572219.903,5.795670696627719
0.25,7,2007_9,107037394872.0819,9.663455173639901
0.25,12,2007_9,211908941683.6319,7.543916846746698
0.25,4,2007_10,219974186349.08954,6.179088552666509
0.25,7,2007_10,96223176512.19142,7.664474652695348
0.25,12,2007_10,204609145550.49725,7.736609490044716
0.25,4,2007_11,216855923448.68054,6.50989510711657
0.25,7,2007_11,78832796012.78265,7.082266979518167
0.25,12,2007_11,192744860057.17676,6.048992682350703
0.25,4,2007_12,213838122166.71384,6.782987493103753
0.25,7,2007_12,62736304426.03642,7.210376415353896
0.25,12,2007_12,168178118176.13922,6.551571558050346
1,4,2004_01,7275895776406.17,5.5339764485889456
1,7,2004_01,7844467144152.594,9.60695332314889
1,12,2004_01,24037364250705.2,4.706855356830088
